category,institution,city,state,type
AANAPISI & HSI,College of Staten Island CUNY,Staten Island,NY,Public 4yr
AANAPISI,College of the Marshall Islands,Majuro,MH,Public 4yr
HSI,College Unbound,Providence,RI,Private 4yr
HSI,Colorado Mountain College,Glenwood Springs,CO,Public 4yr
HSI,Colorado State University Pueblo,Pueblo,CO,Public 4yr
HSI,Columbia Basin College,Pasco,WA,Public 4yr
HSI,Community College of Denver,Denver,CO,Public 4yr
HSI,Concordia College,Bronxville,NY,Private 4yr
HSI,Concordia University Texas,Austin,TX,Private 4yr
HSI,Concordia University-Chicago,River Forest,IL,Private 4yr
AANAPISI & HSI,Concordia University-Irvine,Irvine,CA,Private 4yr
AANAPISI,Concordia University-Saint Paul,Saint Paul,MN,Private 4yr
HSI,Conservatory of Music of Puerto Rico,San Juan,PR,Public 4yr
HBCU,Coppin State University,Baltimore,MD,Public 4yr
AANAPISI & HSI,CUNY Bernard M Baruch College,New York,NY,Public 4yr
AANAPISI,CUNY Brooklyn College,Brooklyn,NY,Public 4yr
AANAPISI & HSI,CUNY City College,New York,NY,Public 4yr
AANAPISI & HSI,CUNY Hunter College,New York,NY,Public 4yr
AANAPISI & HSI,CUNY John Jay College of Criminal Justice,New York,NY,Public 4yr
HSI,CUNY Lehman College,Bronx,NY,Public 4yr
PBI,CUNY Medgar Evers College,Brooklyn,NY,Public 4yr
AANAPISI & HSI,CUNY New York City College of Technology,Brooklyn,NY,Public 4yr
AANAPISI & HSI,CUNY Queens College,Queens,NY,Public 4yr
"AANAPISI, HSI, & PBI",CUNY York College,Jamaica,NY,Public 4yr
AANAPISI & HSI,Cypress College,Cypress,CA,Public 4yr
HSI,Dallas College,Dallas,TX,Public 4yr
HSI,Dalton State College,Dalton,GA,Public 4yr
HBCU,Delaware State University,Dover,DE,Public 4yr
HSI,Dewey University-Carolina,Carolina,PR,Private 4yr
HSI,Dewey University-Hato Rey,Hato Rey,PR,Private 4yr
HSI,Dewey University-Juana DÃ-az,Juana Diaz,PR,Private 4yr
HSI,Dewey University-Manati,Manati,PR,Private 4yr
HBCU,Dillard University,New Orleans,LA,Private 4yr
TCU,Dine College,Tsaile,AZ,Public 4yr
HSI,Dominican College of Blauvelt,Orangeburg,NY,Private 4yr
HSI,Dominican University,River Forest,IL,Private 4yr
AANAPISI & HSI,Dominican University of California,San Rafael,CA,Private 4yr
HSI,Donnelly College,Kansas City,KS,Private 4yr
NASNTI,East Central University,Ada,OK,Public 4yr
PBI,East Georgia State College,Swainsboro,GA,Public 4yr
HSI,Eastern New Mexico University-Main Campus,Portales,NM,Public 4yr
HSI,Ecclesia College,Springdale,AR,Private 4yr
AANAPISI,Edmonds College,Lynnwood,WA,Public 4yr
HSI,EDP University of Puerto Rico,San Juan,PR,Private 4yr
HSI,EDP University of Puerto Rico Inc-San Sebastian,San Sebastian,PR,Private 4yr
HSI,EDP University of Puerto Rico-Humacao,Humacao,PR,Private 4yr
HSI,EDP University of Puerto Rico-Manati,Manati,PR,Private 4yr
HSI,EDP University of Puerto Rico-Villalba,Villalba,PR,Private 4yr
HBCU,Edward Waters College,Jacksonville,FL,Private 4yr
HBCU,Elizabeth City State University,Elizabeth City,NC,Public 4yr
HSI,Elmhurst University,Elmhurst,IL,Private 4yr
AANAPISI,Epic Bible College,Sacramento,CA,Private 4yr
HSI,Escuela de Artes Plasticas y Diseno de Puerto Rico,San Juan,PR,Public 4yr
HSI,Fairleigh Dickinson University-Metropolitan Campus,Teaneck,NJ,Private 4yr
HSI,Family of Faith Christian University,Shawnee,OK,Private 4yr
PBI,Faulkner University,Montgomery,AL,Private 4yr
HBCU,Fayetteville State University,Fayetteville,NC,Public 4yr
HSI,Felician University,Lodi,NJ,Private 4yr
HBCU,Fisk University,Nashville,TN,Private 4yr
HBCU,Florida Agricultural and Mechanical University,Tallahassee,FL,Public 4yr
HSI,Florida Atlantic University,Boca Raton,FL,Public 4yr
HSI,Florida International University,Miami,FL,Public 4yr
HBCU,Florida Memorial University,Miami Gardens,FL,Private 4yr
HSI,Florida SouthWestern State College,Fort Myers,FL,Public 4yr
NASNTI,Fort Lewis College,Durango,CO,Public 4yr
HBCU,Fort Valley State University,Fort Valley,GA,Public 4yr
HSI,Fresno Pacific University,Fresno,CA,Private 4yr
HSI,Galveston College,Galveston,TX,Public 4yr
AANAPISI & HSI,Georgia Gwinnett College,Lawrenceville,GA,Public 4yr
PBI,Georgia Military College,Milledgeville,GA,Public 4yr
AANAPISI & PBI,Georgia State University,Atlanta,GA,Public 4yr
HSI,Goshen College,Goshen,IN,Private 4yr
AANAPISI,Grace Mission University,Fullerton,CA,Private 4yr
HBCU,Grambling State University,Grambling,LA,Public 4yr
AANAPISI,Green River College,Auburn,WA,Public 4yr
AANAPISI,Guam Community College,Mangilao,GU,Public 4yr
HSI,Hallmark University,San Antonio,TX,Private 4yr
HBCU,Hampton University,Hampton,VA,Private 4yr
HBCU,Harris-Stowe State University,Saint Louis,MO,Public 4yr
TCU,Haskell Indian Nations University,Lawrence,KS,Public 4yr
ANNH,Hawaii Pacific University,Honolulu,HI,Private 4yr
AANAPISI & ANNH,Hawaii Pacific University,Honolulu,HI,Private 4yr
HSI,Heritage University,Toppenish,WA,Private 4yr
AANAPISI & HSI,Herzing University-Kenosha,Kenosha,WI,Private 4yr
AANAPISI,Herzing University-Minneapolis,St. Louis Park,MN,Private 4yr
