category,institution,city,state,type
HSI,Universidad del Sagrado Corazon,Santurce,PR,Private 4yr
HSI,Universidad Pentecostal Mizpa,Rio Piedras,PR,Private 4yr
HSI,Universidad Politecnica de Puerto Rico,Hato Rey,PR,Private 4yr
HSI,Universidad Teologica del Caribe,Trujillo Alto,PR,Private 4yr
ANNH,University of Alaska at Fairbanks - Northwest Community College,Nome,AK,NULL
ANNH & NASNTI,University of Alaska Fairbanks,Fairbanks,AK,Public 4yr
ANNH,University of Alaska Fairbanks - Chukchi Campus,Kotzebue,AK,NULL
ANNH,University of Alaska Fairbanks - Interior Alaska Campus,Faribanks,AK,NULL
ANNH,University of Alaska Fairbanks - Kuskokwin Campus,Bethel,AK,NULL
ANNH & NASNTI,University of Alaska Southeast,Juneau,AK,Public 4yr
HSI,University of Arizona,Tucson,AZ,Public 4yr
HBCU,University of Arkansas at Pine Bluff,Pine Bluff,AR,Public 4yr
PBI,University of Baltimore,Baltimore,MD,Public 4yr
HSI,University of Bridgeport,Bridgeport,CT,Private 4yr
AANAPISI,University of California-Davis,Davis,CA,Public 4yr
AANAPISI & HSI,University of California-Irvine,Irvine,CA,Public 4yr
AANAPISI & HSI,University of California-Merced,Merced,CA,Public 4yr
AANAPISI & HSI,University of California-Riverside,Riverside,CA,Public 4yr
AANAPISI,University of California-San Diego,La Jolla,CA,Public 4yr
AANAPISI & HSI,University of California-Santa Barbara,Santa Barbara,CA,Public 4yr
AANAPISI & HSI,University of California-Santa Cruz,Santa Cruz,CA,Public 4yr
HSI,University of Central Florida,Orlando,FL,Public 4yr
AANAPISI,University of Connecticut-Hartford Campus,Hartford,CT,Public 4yr
AANAPISI & HSI,University of Connecticut-Stamford,Stamford,CT,Public 4yr
AANAPISI & HSI,University of Connecticut-Waterbury Campus,Waterbury,CT,Public 4yr
AANAPISI,University of Guam,Mangilao,GU,Public 4yr
ANNH,University of Hawaii at Hilo,Hilo,HI,Public 4yr
AANAPISI & ANNH,University of Hawaii at Hilo,Hilo,HI,Public 4yr
AANAPISI & ANNH,University of Hawaii at Manoa,Honolulu,HI,Public 4yr
ANNH,University of Hawaii Maui College,Kahului,HI,Public 4yr
AANAPISI & ANNH,University of Hawaii Maui College,Kahului,HI,Public 4yr
ANNH,University of Hawaii-West Oahu,Kapolei,HI,Public 4yr
AANAPISI & ANNH,University of Hawaii-West Oahu,Kapolei,HI,Public 4yr
AANAPISI & HSI,University of Houston,Houston,TX,Public 4yr
HSI,University of Houston-Clear Lake,Houston,TX,Public 4yr
HSI,University of Houston-Downtown,Houston,TX,Public 4yr
HSI,University of Houston-Victoria,Victoria,TX,Public 4yr
AANAPISI & HSI,University of Illinois Chicago,Chicago,IL,Public 4yr
HSI,University of La Verne,La Verne,CA,Private 4yr
HBCU,University of Maryland Eastern Shore,Princess Anne,MD,Public 4yr
AANAPISI,University of Maryland-Baltimore County,Baltimore,MD,Public 4yr
AANAPISI,University of Massachusetts-Boston,Boston,MA,Public 4yr
AANAPISI,University of Massachusetts-Lowell,Lowell,MA,Public 4yr
NASNTI,University of Minnesota-Morris,Morris,MN,Public 4yr
AANAPISI,University of Minnesota-Twin Cities,Minneapolis,MN,Public 4yr
AANAPISI & HSI,University of Nevada-Las Vegas,Las Vegas,NV,Public 4yr
HSI,University of New Mexico-Main Campus,Albuquerque,NM,Public 4yr
NASNTI,University of North Carolina at Pembroke,Pembroke,NC,Public 4yr
HSI,University of North Texas,Denton,TX,Public 4yr
HSI,University of North Texas at Dallas,Dallas,TX,Public 4yr
HSI,University of Puerto Rico-Aguadilla,Aguadilla,PR,Public 4yr
HSI,University of Puerto Rico-Arecibo,Arecibo,PR,Public 4yr
HSI,University of Puerto Rico-Bayamon,Bayamon,PR,Public 4yr
HSI,University of Puerto Rico-Carolina,Carolina,PR,Public 4yr
HSI,University of Puerto Rico-Cayey,Cayey,PR,Public 4yr
HSI,University of Puerto Rico-Humacao,Humacao,PR,Public 4yr
HSI,University of Puerto Rico-Mayagüez Campus,Mayagüez,PR,Public 4yr
HSI,University of Puerto Rico-Medical Sciences,San Juan,PR,Public 4yr
HSI,University of Puerto Rico-Ponce,Ponce,PR,Public 4yr
HSI,University of Puerto Rico-Rio Piedras,San Juan,PR,Public 4yr
HSI,University of Puerto Rico-Utuado,Utuado,PR,Public 4yr
HSI,University of Redlands,Redlands,CA,Private 4yr
HSI,University of Saint Katherine,San Marcos,CA,Private 4yr
NASNTI,University of Science and Arts of Oklahoma,Chickasha,OK,Public 4yr
AANAPISI & HSI,University of St Thomas,Houston,TX,Private 4yr
HBCU,University of the District of Columbia,Washington,DC,Public 4yr
HSI,University of the Incarnate Word,San Antonio,TX,Private 4yr
AANAPISI,University of the Pacific,Stockton,CA,Private 4yr
HSI,University of the Southwest,Hobbs,NM,Private 4yr
HBCU,University of the Virgin Islands,Charlotte Amalie,VI,Public 4yr
HSI,University of the West,Rosemead,CA,Private 4yr
AANAPISI,University of Washington-Tacoma Campus,Tacoma,WA,Public 4yr
PBI,University of West Alabama,Livingston,AL,Public 4yr
NASNTI,Utah State University,Blanding,UT,NULL
HSI,Valencia College,Orlando,FL,Public 4yr
HSI,Vanguard University of Southern California,Costa Mesa,CA,Private 4yr
AANAPISI & HSI,Vaughn College of Aeronautics and Technology,Flushing,NY,Private 4yr
AANAPISI,Virginia Commonwealth University,Richmond,VA,Public 4yr
AANAPISI,Virginia Polytechnic Institute and State University,Blacksburg,VA,Public 4yr
HBCU,Virginia State University,Petersburg,VA,Public 4yr
HBCU,Virginia Union University,Richmond,VA,Private 4yr
HBCU,Virginia University of Lynchburg,Lynchburg,VA,Private 4yr
HBCU,Voorhees College,Denmark,SC,Private 4yr
HSI,Walla Walla Community College,Walla Walla,WA,Public 4yr
HSI,Warner Pacific University,Portland,OR,Private 4yr
HSI,Wayland Baptist University,Plainview,TX,Private 4yr
AANAPISI,Wayne State University,Detroit,MI,Public 4yr
HSI,Wenatchee Valley College,Wenatchee,WA,Public 4yr
HSI,West Los Angeles College,Culver City,CA,Public 4yr
HSI,West Texas A & M University,Canyon,TX,Public 4yr
HBCU,West Virginia State University,Institute,WV,Public 4yr
HSI,Western Nevada College,Carson City,NV,Public 4yr
HSI,Western New Mexico University,Silver City,NM,Public 4yr
HSI,Whittier College,Whittier,CA,Private 4yr
HBCU,Wilberforce University,Wilberforce,OH,Private 4yr
HBCU,Wiley College,Marshall,TX,Private 4yr
HSI,William Paterson University of New Jersey,Wayne,NJ,Public 4yr
HBCU,Winston-Salem State University,Winston-Salem,NC,Public 4yr
AANAPISI & HSI,Woodbury University,Burbank,CA,Private 4yr
AANAPISI & HSI,World Mission University,Los Angeles,CA,Private 4yr
HBCU,Xavier University of Louisiana,New Orleans,LA,Private 4yr
HSI,Yakima Valley College,Yakima,WA,Public 4yr
