instname,housed_under,college,school,department,program_area,program_level,cip_program,website_inst,website_program,website_catalog,course_titles
Alabama A & M University,Computing,"College of Engineering, Technology, and Physical Sciences",N/A,Department of Engineering & Computer Science,Computer Science,Master of Science Online,11.0701,https://www.aamu.edu/,https://www.aamu.edu/academics/graduate-studies/master-science-computer-science-online.html,https://www.aamu.edu/academics/catalogs/_documents/graduate-catalogs/graduate-catalog-2023-2024.pdf,Computer Communications
Alabama A & M University,Computing,"College of Engineering, Technology, and Physical Sciences",N/A,Department of Engineering & Computer Science,Computer Science,Master of Science Online,11.0701,https://www.aamu.edu/,https://www.aamu.edu/academics/graduate-studies/master-science-computer-science-online.html,https://www.aamu.edu/academics/catalogs/_documents/graduate-catalogs/graduate-catalog-2023-2024.pdf,Artificial Intelligence
Alabama A & M University,Computing,"College of Engineering, Technology, and Physical Sciences",N/A,Department of Engineering & Computer Science,Computer Science,Master of Science Online,11.0701,https://www.aamu.edu/,https://www.aamu.edu/academics/graduate-studies/master-science-computer-science-online.html,https://www.aamu.edu/academics/catalogs/_documents/graduate-catalogs/graduate-catalog-2023-2024.pdf,Neural Networks
Alabama A & M University,Computing,"College of Engineering, Technology, and Physical Sciences",N/A,Department of Engineering & Computer Science,Computer Science,Master of Science Online,11.0701,https://www.aamu.edu/,https://www.aamu.edu/academics/graduate-studies/master-science-computer-science-online.html,https://www.aamu.edu/academics/catalogs/_documents/graduate-catalogs/graduate-catalog-2023-2024.pdf,Advanced Database Systems
Alabama A & M University,Computing,"College of Engineering, Technology, and Physical Sciences",N/A,Department of Engineering & Computer Science,Computer Science,Master of Science Online,11.0701,https://www.aamu.edu/,https://www.aamu.edu/academics/graduate-studies/master-science-computer-science-online.html,https://www.aamu.edu/academics/catalogs/_documents/graduate-catalogs/graduate-catalog-2023-2024.pdf,Multimedia Systems and Applications
Alabama A & M University,Computing,"College of Engineering, Technology, and Physical Sciences",N/A,Department of Engineering & Computer Science,Computer Science,Master of Science Online,11.0701,https://www.aamu.edu/,https://www.aamu.edu/academics/graduate-studies/master-science-computer-science-online.html,https://www.aamu.edu/academics/catalogs/_documents/graduate-catalogs/graduate-catalog-2023-2024.pdf,Image Processing
Alabama A & M University,Computing,"College of Engineering, Technology, and Physical Sciences",N/A,Department of Engineering & Computer Science,Computer Science,Master of Science Online,11.0701,https://www.aamu.edu/,https://www.aamu.edu/academics/graduate-studies/master-science-computer-science-online.html,https://www.aamu.edu/academics/catalogs/_documents/graduate-catalogs/graduate-catalog-2023-2024.pdf,Computer Graphics and Animation
Alabama A & M University,Computing,"College of Engineering, Technology, and Physical Sciences",N/A,Department of Engineering & Computer Science,Computer Science,Master of Science Online,11.0701,https://www.aamu.edu/,https://www.aamu.edu/academics/graduate-studies/master-science-computer-science-online.html,https://www.aamu.edu/academics/catalogs/_documents/graduate-catalogs/graduate-catalog-2023-2024.pdf,Fuzzy and Expert Systems
Alabama A & M University,Computing,"College of Engineering, Technology, and Physical Sciences",N/A,Department of Engineering & Computer Science,Computer Science,Master of Science Online,11.0701,https://www.aamu.edu/,https://www.aamu.edu/academics/graduate-studies/master-science-computer-science-online.html,https://www.aamu.edu/academics/catalogs/_documents/graduate-catalogs/graduate-catalog-2023-2024.pdf,Wireless and Mobile Computing
Alabama A & M University,Computing,"College of Engineering, Technology, and Physical Sciences",N/A,Department of Engineering & Computer Science,Computer Science,Master of Science Online,11.0701,https://www.aamu.edu/,https://www.aamu.edu/academics/graduate-studies/master-science-computer-science-online.html,https://www.aamu.edu/academics/catalogs/_documents/graduate-catalogs/graduate-catalog-2023-2024.pdf,Cooperative Educational Work Experience
